protocol_id,config,seed,pass_name,event,epoch,time_ns,timestamp,gpu_index,name,uuid,pstate,clock_graphics_mhz,clock_memory_mhz,temperature_c,power_draw_w,power_limit_w,utilization_gpu_pct,throttle_active,thermal_slowdown,other_compute_processes,raw_gpu_query,raw_process_query,query_error
C1-R1-v1.1,BL,42,trace,before_job,,1785575216176478660,2026/08/01 18:06:56.135,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P0,2010.0,7000.0,57.0,56.82,220.0,0.0,0x0000000000000000,Not Active,,"2026/08/01 18:06:56.135, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P0, 2010, 7000, 57, 56.82, 220.00, 0, 0x0000000000000000, Not Active",,
C1-R1-v1.1,BL,42,trace,after_warmup,,1785575218777232665,2026/08/01 18:06:58.735,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,2010.0,6800.0,58.0,57.92,220.0,58.0,0x0000000000000000,Not Active,,"2026/08/01 18:06:58.735, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 2010, 6800, 58, 57.92, 220.00, 58, 0x0000000000000000, Not Active","290155, /home/hma/miniconda3/bin/python3, 178",
C1-R1-v1.1,BL,42,trace,before_epoch,0,1785575218864423359,2026/08/01 18:06:58.824,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,2010.0,6800.0,58.0,57.92,220.0,58.0,0x0000000000000000,Not Active,,"2026/08/01 18:06:58.824, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 2010, 6800, 58, 57.92, 220.00, 58, 0x0000000000000000, Not Active","290155, /home/hma/miniconda3/bin/python3, 204",
C1-R1-v1.1,BL,42,trace,after_epoch,0,1785575245619203431,2026/08/01 18:07:25.571,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,56.0,54.54,220.0,11.0,0x0000000000000000,Not Active,,"2026/08/01 18:07:25.571, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 56, 54.54, 220.00, 11, 0x0000000000000000, Not Active","290155, /home/hma/miniconda3/bin/python3, 4830",
C1-R1-v1.1,BL,42,trace,before_epoch,1,1785575245689603462,2026/08/01 18:07:25.631,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,55.0,56.05,220.0,11.0,0x0000000000000000,Not Active,,"2026/08/01 18:07:25.631, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 55, 56.05, 220.00, 11, 0x0000000000000000, Not Active","290155, /home/hma/miniconda3/bin/python3, 4830",
C1-R1-v1.1,BL,42,trace,after_epoch,1,1785575272479103745,2026/08/01 18:07:52.427,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,54.0,55.73,220.0,20.0,0x0000000000000000,Not Active,,"2026/08/01 18:07:52.427, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 54, 55.73, 220.00, 20, 0x0000000000000000, Not Active","290155, /home/hma/miniconda3/bin/python3, 4830",
C1-R1-v1.1,BL,42,trace,before_epoch,2,1785575272569586366,2026/08/01 18:07:52.509,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,54.0,55.85,220.0,17.0,0x0000000000000000,Not Active,,"2026/08/01 18:07:52.509, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 54, 55.85, 220.00, 17, 0x0000000000000000, Not Active","290155, /home/hma/miniconda3/bin/python3, 4830",
C1-R1-v1.1,BL,42,trace,after_epoch,2,1785575299528370248,2026/08/01 18:08:19.476,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,53.0,53.88,220.0,39.0,0x0000000000000000,Not Active,,"2026/08/01 18:08:19.476, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 53, 53.88, 220.00, 39, 0x0000000000000000, Not Active","290155, /home/hma/miniconda3/bin/python3, 4830",
C1-R1-v1.1,BL,42,trace,before_epoch,3,1785575299611964380,2026/08/01 18:08:19.562,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,53.0,55.36,220.0,17.0,0x0000000000000000,Not Active,,"2026/08/01 18:08:19.562, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 53, 55.36, 220.00, 17, 0x0000000000000000, Not Active","290155, /home/hma/miniconda3/bin/python3, 4830",
C1-R1-v1.1,BL,42,trace,after_epoch,3,1785575326560012812,2026/08/01 18:08:46.507,0,NVIDIA GeForce RTX 3070,GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720,P2,1725.0,6800.0,54.0,55.18,220.0,17.0,0x0000000000000000,Not Active,,"2026/08/01 18:08:46.507, 0, NVIDIA GeForce RTX 3070, GPU-0bd13d63-b466-1f0b-ce46-481d3e6ec720, P2, 1725, 6800, 54, 55.18, 220.00, 17, 0x0000000000000000, Not Active","290155, /home/hma/miniconda3/bin/python3, 4830",
