claim_id,metric_id,protocol,statistic,unit,n_primary,n_comparator,primary_label,primary_value,comparator_label,comparator_value,ratio_label,ratio_value,rounding_lower,rounding_upper,source_paths,notes
C1.1,phase8_negative_sampling_time_all_batches,Phase 8 all_batches,arithmetic_mean,ms,110,275,synthetic_cpu_validation_sampler,590.596768362,gpu_tail_only_sampler,3.09336632151,synthetic_cpu/gpu,190.923643364,,,output/results/unified_runtime/runtime_trace_CPU.csv;output/results/unified_runtime/runtime_trace_GPU.csv,The CPU comparator is not the original Bernoulli/global-collision sampler. The final batch in each epoch is partial when excluded; only the first GPU observation is treated as CUDA warm-up in the steady-state view.
C1.4,phase8_recorded_step_time_all_batches,Phase 8 all_batches,arithmetic_mean,ms,110,275,synthetic_cpu_validation_sampler,670.649152131,gpu_tail_only_sampler,79.4215735692,synthetic_cpu/gpu,8.44416852994,,,output/results/unified_runtime/runtime_trace_CPU.csv;output/results/unified_runtime/runtime_trace_GPU.csv,The CPU comparator is not the original Bernoulli/global-collision sampler. The final batch in each epoch is partial when excluded; only the first GPU observation is treated as CUDA warm-up in the steady-state view.
C1.1,phase8_negative_sampling_time_full_size_batches,Phase 8 full_size_batches,arithmetic_mean,ms,108,270,synthetic_cpu_validation_sampler,597.167843065,gpu_tail_only_sampler,3.12491555664,synthetic_cpu/gpu,191.098873631,,,output/results/unified_runtime/runtime_trace_CPU.csv;output/results/unified_runtime/runtime_trace_GPU.csv,The CPU comparator is not the original Bernoulli/global-collision sampler. The final batch in each epoch is partial when excluded; only the first GPU observation is treated as CUDA warm-up in the steady-state view.
C1.4,phase8_recorded_step_time_full_size_batches,Phase 8 full_size_batches,arithmetic_mean,ms,108,270,synthetic_cpu_validation_sampler,678.037373944,gpu_tail_only_sampler,80.2313990374,synthetic_cpu/gpu,8.45102269285,,,output/results/unified_runtime/runtime_trace_CPU.csv;output/results/unified_runtime/runtime_trace_GPU.csv,The CPU comparator is not the original Bernoulli/global-collision sampler. The final batch in each epoch is partial when excluded; only the first GPU observation is treated as CUDA warm-up in the steady-state view.
C1.1,phase8_negative_sampling_time_full_size_exclude_gpu_first,Phase 8 full_size_exclude_gpu_first,arithmetic_mean,ms,108,269,synthetic_cpu_validation_sampler,597.167843065,gpu_tail_only_sampler,2.97106280715,synthetic_cpu/gpu,200.994688375,,,output/results/unified_runtime/runtime_trace_CPU.csv;output/results/unified_runtime/runtime_trace_GPU.csv,The CPU comparator is not the original Bernoulli/global-collision sampler. The final batch in each epoch is partial when excluded; only the first GPU observation is treated as CUDA warm-up in the steady-state view.
C1.4,phase8_recorded_step_time_full_size_exclude_gpu_first,Phase 8 full_size_exclude_gpu_first,arithmetic_mean,ms,108,269,synthetic_cpu_validation_sampler,678.037373944,gpu_tail_only_sampler,79.8330455188,synthetic_cpu/gpu,8.49319187986,,,output/results/unified_runtime/runtime_trace_CPU.csv;output/results/unified_runtime/runtime_trace_GPU.csv,The CPU comparator is not the original Bernoulli/global-collision sampler. The final batch in each epoch is partial when excluded; only the first GPU observation is treated as CUDA warm-up in the steady-state view.
C1.9,phase8_recorded_neg_share_synthetic_cpu_validation_sampler,Phase 8 full-size batches; GPU first observation excluded,ratio_of_sums,percent,108,,synthetic_cpu_validation_sampler,88.07299804,,,,,,,output/results/unified_runtime/runtime_trace_CPU.csv;output/results/unified_runtime/runtime_trace_GPU.csv,Share uses only the recorded neg/fwd/bwd/opt step denominator; it is not directly comparable to the Phase 6 exhaustive profile.
C1.9,phase8_recorded_neg_share_gpu_tail_only_sampler,Phase 8 full-size batches; GPU first observation excluded,ratio_of_sums,percent,269,,gpu_tail_only_sampler,3.72159522143,,,,,,,output/results/unified_runtime/runtime_trace_CPU.csv;output/results/unified_runtime/runtime_trace_GPU.csv,Share uses only the recorded neg/fwd/bwd/opt step denominator; it is not directly comparable to the Phase 6 exhaustive profile.
C1.2,phase9_step2_epoch_time,Phase 9 Step 2; five epochs per configuration,mean_of_rounded_epoch_observations,s,5,5,BL_original_cpu,25.1,GPU_tail_only,4.4,BL/GPU,5.70454545455,5.62921348315,5.7816091954,output/results/phase9_step2/BL/summary.csv;output/results/phase9_step2/GPU/summary.csv,Each stored epoch time was rounded to 0.1s before this mean; the interval is the possible ratio range induced by rounding alone.
C1.2,phase10_repeat_epoch_time_context,Phase 10 Step 2.5 separate rounded repeat summaries,mean_across_rounded_run_summaries,s,3,5,BL_original_cpu,25.6333333333,GPU_tail_only,4.4,BL/GPU,5.82575757576,5.74906367041,5.90421455939,output/results/phase10_step2_5/cpu_repeats.csv;output/results/phase10_step2_5/gpu_repeats.csv,"BL sample std=0.37859388972s; GPU sample std=0s. Full precision was discarded before storage, so zero dispersion in the GPU column is not evidence of zero runtime variance."
C1.3,phase9_step3_final_epoch_neg_std,Phase 9 Step 3 final epoch; all batches including final partial batch,population_std_within_epoch_from_rounded_summary,ms,1,1,BL_original_cpu,28.5,GPU_tail_only,0.2,BL/GPU,142.5,113.8,190.333333333,output/results/phase9_step3/BL/summary.csv;output/results/phase9_step3/GPU/summary.csv,"The generator uses numpy.std with ddof=0. Per-step data are not stored, so the partial-batch effect cannot be removed. The wide ratio interval is caused by the denominator rounded to 0.2ms."
C1.3,phase9_step3_mean_epoch_neg_std,Phase 9 Step 3; ten rounded within-epoch dispersions,mean_of_epoch_population_stds,ms,10,10,BL_original_cpu,30.31,GPU_tail_only,0.37,BL/GPU,81.9189189189,,,output/results/phase9_step3/BL/summary.csv;output/results/phase9_step3/GPU/summary.csv,"Epochs are repeated measurements within one training run, not independent experimental repeats."
C1.7,phase9_step3_gpu_neg_mean_min,Phase 9 Step 3 GPU run,minimum,ms,10,,GPU_tail_only,2.9,,,,,,,output/results/phase9_step3/GPU/summary.csv,Minimum over all ten rounded epoch summaries. Underlying per-step observations are absent.
C1.7,phase9_step3_gpu_neg_mean_max,Phase 9 Step 3 GPU run,maximum,ms,10,,GPU_tail_only,3.4,,,,,,,output/results/phase9_step3/GPU/summary.csv,Maximum over all ten rounded epoch summaries. Underlying per-step observations are absent.
C1.7,phase9_step3_gpu_post_epoch0_min,Phase 9 Step 3 GPU run,minimum,ms,9,,GPU_tail_only,2.9,,,,,,,output/results/phase9_step3/GPU/summary.csv,Minimum after excluding epoch 0 as a warm-up sensitivity view. Underlying per-step observations are absent.
C1.7,phase9_step3_gpu_post_epoch0_max,Phase 9 Step 3 GPU run,maximum,ms,9,,GPU_tail_only,3.2,,,,,,,output/results/phase9_step3/GPU/summary.csv,Maximum after excluding epoch 0 as a warm-up sensitivity view. Underlying per-step observations are absent.
C1.5,phase9_step1_bugged_quality_cpu_original,Phase 9 Step 1; two epochs; broken filtered evaluator,stored_bugged_evaluation,MRR,1,,CPU_original,6.89036187029e-05,,,,,,,output/results/phase9_step1/results.csv,"Stored Hits@10=0.0. The true entity is masked to infinity, so this value is not meaningful."
C1.5,phase9_step1_bugged_quality_gpu_v2,Phase 9 Step 1; two epochs; broken filtered evaluator,stored_bugged_evaluation,MRR,1,,GPU_v2,6.89036187029e-05,,,,,,,output/results/phase9_step1/results.csv,"Stored Hits@10=0.0. The true entity is masked to infinity, so this value is not meaningful."
C1.8,phase9_step2_sampled_final_mrr,Phase 9 Step 2; epoch 4; 200 sampled held-out training triples,stored_sampled_MRR,MRR,200,200,BL_original_cpu,0.0136,GPU_tail_only,0.0132,,,,,output/results/phase9_step2/BL/summary.csv;output/results/phase9_step2/GPU/summary.csv,"Stored Hits@10: BL=0.0225, GPU=0.0300. This is not an official full-test or full-convergence protocol."
C1.6,phase9_step2_whole_training_peak_memory,Phase 9 Step 2 whole-training configuration peak,stored_rounded_peak_memory,MiB,1,1,BL_original_cpu,5818,GPU_tail_only,5819,GPU_minus_BL,1,,,output/results/phase9_step2/summary.csv,"Values are rounded to whole MiB and include model, optimizer, positive/negative tensors, and sampler allocations; they are not sampler-only deltas."
C1.9,phase6_profile_collate,Phase 6 training-time breakdown,stored_component_total_and_share,percent,1,,Collate,46.63,,,,,,,output/results/training_time_breakdown.md,Stored component time=144382.806ms.
C1.9,phase6_profile_negative_sampling,Phase 6 training-time breakdown,stored_component_total_and_share,percent,1,,Negative Sampling,35.7,,,,,,,output/results/training_time_breakdown.md,Stored component time=110558.718ms.
C1.9,phase6_profile_tensor_construction,Phase 6 training-time breakdown,stored_component_total_and_share,percent,1,,Tensor Construction,10.74,,,,,,,output/results/training_time_breakdown.md,Stored component time=33268.599ms.
C1.9,phase6_profile_forward,Phase 6 training-time breakdown,stored_component_total_and_share,percent,1,,Forward,3.34,,,,,,,output/results/training_time_breakdown.md,Stored component time=10346.246ms.
C1.9,phase6_profile_backward,Phase 6 training-time breakdown,stored_component_total_and_share,percent,1,,Backward,3.4,,,,,,,output/results/training_time_breakdown.md,Stored component time=10541.702ms.
C1.9,phase6_profile_optimizer,Phase 6 training-time breakdown,stored_component_total_and_share,percent,1,,Optimizer,0.18,,,,,,,output/results/training_time_breakdown.md,Stored component time=566.172ms.
