metric_id,phase,configuration,statistic,value,unit,n,source_paths,derivation,claim_relation,paper_use
c1_r1_bl_scheduler_epoch_pct,C1-R1 throughput pass,BL / RandomSorter+ChunkPacker,ratio of mean scheduler time to mean epoch time,0.2799040681,percent,30,output/results/c1_r1_combined_rerun/jobs/throughput_BL_seed*/per_epoch.csv,mean(scheduler_overhead_ns) / mean(epoch_time_ns) * 100,C2.6 descriptive context; no replacement claim,protocol-specific description only
c1_r1_bl_scheduler_max_ms,C1-R1 throughput pass,BL / RandomSorter+ChunkPacker,maximum across throughput epochs,105.364501,ms,30,output/results/c1_r1_combined_rerun/jobs/throughput_BL_seed*/per_epoch.csv,max(scheduler_overhead_ns / 1e6),C2.6 descriptive context; no replacement claim,protocol-specific description only
c1_r1_bl_scheduler_mean_ms,C1-R1 throughput pass,BL / RandomSorter+ChunkPacker,arithmetic mean across throughput epochs,73.0879968667,ms,30,output/results/c1_r1_combined_rerun/jobs/throughput_BL_seed*/per_epoch.csv,mean(scheduler_overhead_ns / 1e6),C2.6 descriptive context; no replacement claim,protocol-specific description only
c1_r1_bl_scheduler_min_ms,C1-R1 throughput pass,BL / RandomSorter+ChunkPacker,minimum across throughput epochs,61.714467,ms,30,output/results/c1_r1_combined_rerun/jobs/throughput_BL_seed*/per_epoch.csv,min(scheduler_overhead_ns / 1e6),C2.6 descriptive context; no replacement claim,protocol-specific description only
c1_r1_bl_scheduler_sd_ms,C1-R1 throughput pass,BL / RandomSorter+ChunkPacker,sample standard deviation across throughput epochs,11.727129931,ms,30,output/results/c1_r1_combined_rerun/jobs/throughput_BL_seed*/per_epoch.csv,"stdev(scheduler_overhead_ns / 1e6), ddof=1",C2.6 descriptive context; no replacement claim,protocol-specific description only
c1_r1_gpu_scheduler_epoch_pct,C1-R1 throughput pass,GPU / RandomSorter+ChunkPacker,ratio of mean scheduler time to mean epoch time,1.52941163216,percent,30,output/results/c1_r1_combined_rerun/jobs/throughput_GPU_seed*/per_epoch.csv,mean(scheduler_overhead_ns) / mean(epoch_time_ns) * 100,C2.6 descriptive context; no replacement claim,protocol-specific description only
c1_r1_gpu_scheduler_max_ms,C1-R1 throughput pass,GPU / RandomSorter+ChunkPacker,maximum across throughput epochs,95.476033,ms,30,output/results/c1_r1_combined_rerun/jobs/throughput_GPU_seed*/per_epoch.csv,max(scheduler_overhead_ns / 1e6),C2.6 descriptive context; no replacement claim,protocol-specific description only
c1_r1_gpu_scheduler_mean_ms,C1-R1 throughput pass,GPU / RandomSorter+ChunkPacker,arithmetic mean across throughput epochs,66.8442073333,ms,30,output/results/c1_r1_combined_rerun/jobs/throughput_GPU_seed*/per_epoch.csv,mean(scheduler_overhead_ns / 1e6),C2.6 descriptive context; no replacement claim,protocol-specific description only
c1_r1_gpu_scheduler_min_ms,C1-R1 throughput pass,GPU / RandomSorter+ChunkPacker,minimum across throughput epochs,61.424144,ms,30,output/results/c1_r1_combined_rerun/jobs/throughput_GPU_seed*/per_epoch.csv,min(scheduler_overhead_ns / 1e6),C2.6 descriptive context; no replacement claim,protocol-specific description only
c1_r1_gpu_scheduler_sd_ms,C1-R1 throughput pass,GPU / RandomSorter+ChunkPacker,sample standard deviation across throughput epochs,7.28550183457,ms,30,output/results/c1_r1_combined_rerun/jobs/throughput_GPU_seed*/per_epoch.csv,"stdev(scheduler_overhead_ns / 1e6), ddof=1",C2.6 descriptive context; no replacement claim,protocol-specific description only
phase6_bl_scheduler_overhead_ms,Phase 6,RandomSorter+ChunkPacker,recorded single-epoch overhead,64.757,ms,1,output/results/exp_Baseline/training.md,parse BatchProvider overhead field,C2.6 historical contradiction,protocol-specific description only
phase6_cbp_scheduler_overhead_ms,Phase 6,CostSorter+FFDPacker,recorded single-epoch overhead,1165,ms,1,output/results/exp_CBP/training.md,parse BatchProvider overhead field,C2.6 historical contradiction,protocol-specific description only
